Class,m/z_300.0,m/z_310.0,m/z_320.0,m/z_330.0,m/z_340.0,m/z_350.0,m/z_360.0,m/z_370.0,m/z_380.0,m/z_390.0,m/z_400.0,m/z_410.0,m/z_420.0,m/z_430.0,m/z_440.0,m/z_450.0,m/z_460.0,m/z_470.0,m/z_480.0,m/z_490.0,m/z_500.0,m/z_510.0,m/z_520.0,m/z_530.0,m/z_540.0,m/z_550.0,m/z_560.0,m/z_570.0,m/z_580.0,m/z_590.0,m/z_600.0,m/z_610.0,m/z_620.0,m/z_630.0,m/z_640.0,m/z_650.0,m/z_660.0,m/z_670.0,m/z_680.0,m/z_690.0,m/z_700.0,m/z_710.0,m/z_720.0,m/z_730.0,m/z_740.0,m/z_750.0,m/z_760.0,m/z_770.0,m/z_780.0,m/z_790.0,m/z_800.0,m/z_810.0,m/z_820.0,m/z_830.0,m/z_840.0,m/z_850.0,m/z_860.0,m/z_870.0,m/z_880.0,m/z_890.0,m/z_900.0,m/z_910.0,m/z_920.0,m/z_930.0,m/z_940.0,m/z_950.0,m/z_960.0,m/z_970.0,m/z_980.0,m/z_990.0,m/z_1000.0
Aggressive,786.9757202509923,770.815851410599,861.5579695056709,789.8536969280107,837.9425677196255,686.9186050063139,809.3362766912392,790.7965889609217,808.6739871609033,794.9123050217669,814.0872218729229,809.9305775832742,778.1794696784749,805.6774279386516,808.4550263498799,802.8359257455425,871.6870292870732,805.2837851575331,788.0160804532592,823.2335974808146,858.507820443138,846.1812233264653,771.6471984055448,784.9156866899292,857.8398149105507,760.7951193715791,838.1824482829264,799.3558127541576,804.8272089108503,802.251059803071,785.4668018747002,786.1561732590238,802.7153005894692,842.6257508891581,806.5801860573082,743.3521428097298,823.851277235749,878.2607046181047,781.9909081752706,758.3326374043977,809.5704556685989,726.702106697155,800.3238134419332,821.4178460023763,829.7334375323375,848.4599935128396,1087.9337004958766,836.6865884189092,1065.8884743555159,766.442955682308,1124.7570003494852,810.1221597717092,754.8507827695819,763.1658075016759,876.1302328582342,788.2456110446208,846.703254610916,809.5447120834411,881.6126256655023,848.5449824365741,779.306988423047,841.5472627890133,835.9748417198372,814.4492072994558,728.5346469920012,810.9177776668445,813.392844606088,724.4188540507653,798.7492702352408,705.1497912596153,851.4867032709479
Aggressive,824.9983166972387,860.4759909979016,893.5522854378708,797.5960231011532,817.5244796867939,822.7492534460072,782.0018115335886,762.6635390626047,786.3752243112624,803.2495272308751,801.8716841922611,722.7942859878076,779.7820159875157,784.9785984541113,875.4200242331792,894.6144843035438,779.9066184205425,762.7121544942081,773.8716564448597,723.6381348150653,826.4799677871765,764.8687066629656,873.1460922505428,776.1475518565519,798.7546309191057,843.0452858225881,798.8862156224942,839.8258314844047,785.7813534574774,810.3366006013742,791.0396849353393,790.0663416873033,816.0230200410065,807.7936010634022,825.9242483255028,757.4559692009607,902.522977945043,839.7088982640666,751.7314191991514,809.3281192226782,771.7794566798317,812.2723204954348,768.4942167040842,803.7399935355418,777.5935888146116,773.5907512014586,1097.2635272690022,710.5052969733897,1168.7168814400054,808.5154405694127,1167.288599018265,869.2685375172222,910.0446979296037,788.8155911240473,804.2376533778089,841.5098999125307,804.1790281470043,798.8511909649077,780.1990341377459,819.6601795679876,770.876803835364,732.2860051273625,724.7141116166309,764.6816666716431,751.7475706047386,799.1935696144255,804.2171880573518,741.6493324854898,780.2014933969724,795.2745750807591,880.3708516315031
Aggressive,776.4586864990258,754.9217335415307,799.6600120154563,796.7533652452455,798.7423264357703,844.5286519050704,887.2896115466116,773.051490366423,826.8134141787538,806.251099044808,779.5270701939614,787.0046486052877,775.9401497685616,751.8714942684676,792.5722722468306,836.3656568310322,800.6805703423041,758.097941545229,819.9480976913353,781.0558812841949,752.6334214272982,779.8377168000972,815.0892105956409,732.8805075805403,818.8898062764267,855.7512681295805,808.5338219230798,771.5351695257268,813.6513800937659,806.5642000449988,805.1172692254539,817.5667857574114,856.9590006734215,807.4386037999955,804.1682755564221,863.1773327547342,811.6367365241799,731.8240611569972,781.9429926169572,811.1954484806622,814.3009519567992,775.0588902120063,843.8472155459048,778.240566837607,839.3105201602024,745.3349434527418,1105.3613356282888,862.9634384455975,1064.0009945505342,805.9415954739684,1046.4047386419938,764.6356668466425,900.7889025814695,757.8887530642033,841.7626244959798,821.2974590417996,793.5856909655151,814.5214296517083,775.5904425170098,720.5853204415271,797.0096401304387,775.7967087359447,780.1488643819129,830.404464269927,877.5333357689892,803.6928354017087,762.6527237715966,754.5334048792197,775.7742716453573,782.5832882423189,856.8747356236148
Aggressive,832.0230988672805,809.4851298280227,799.4593789367877,816.3677440681528,807.431446461915,766.4314194741894,775.3011904012554,842.7465704672079,807.750928347507,809.5627559430916,828.7193241940494,802.3699560950251,830.6111421856971,837.5749981431524,806.5053568731026,737.1984223072042,756.8907661601944,820.6329264222011,824.0668639100164,845.4230844169405,845.1023930044917,764.2187411585759,758.0571511030897,840.0919525535967,850.2548915499382,727.1107821649915,821.1953698031298,818.1064704677316,781.0279466476607,769.8084173444429,777.156692289674,777.3069034581519,765.0662268744684,774.0804007406566,794.5152383178743,793.921854448072,839.8211893715647,731.2547164484347,796.8891461757471,907.5342416110532,835.5507269416479,766.8391178529253,849.7553954792081,831.5315939446918,854.5826400772288,747.2763747647015,1174.1841807363994,777.2756786034574,1147.6267528957137,755.7222707070014,1043.7263993148738,834.7484318245304,845.4821159562033,766.9798679828272,810.9572481143783,778.526963360014,783.4473166473127,837.8783319869873,793.6404070631639,793.2650442752163,747.6518114693915,791.8375947653195,859.7988833676246,789.283243770466,727.7131376610143,769.8434159929834,781.960850192669,836.4312998008674,866.5135415329173,717.1298294504593,811.1243847214815
Aggressive,813.2600405657923,779.623900235379,820.9658386535573,825.290355980023,792.8461594019437,856.0526120303897,797.3400466226701,797.6926388451732,822.6448035495335,846.8141676464639,799.9809767204689,837.0429023540997,843.7395737386772,814.1017632814792,770.3520762628364,782.231771372463,767.5385985646235,785.3785102665038,810.6764091260908,818.1131440530874,771.9588277892863,839.3568008913034,772.4812914964426,866.8071848926247,808.8717930662373,786.7496798775768,814.203253011338,813.2013609612206,810.470147907923,865.7005424965226,751.5470823735117,889.0192581232263,810.1258847764466,815.13553718336,807.6995518775317,700.7584809300682,756.1386962907001,771.3499705519441,866.3057871882329,837.5609982275778,831.4634477861357,722.2571875060215,805.6883386573795,879.5482717811207,801.653098319111,814.0109754999924,1067.8313381735861,815.5592069346475,1149.1473269024896,803.4980886056748,1140.6905449887654,737.792940354121,707.5078411095084,820.5079145628815,802.5410635164317,767.3670303384336,899.6017206903202,790.8495550907579,756.0378319813627,793.2355282482163,808.8661853442306,746.0199710836293,790.4810745520095,768.1166377518334,765.014225513463,754.0272574311832,791.2104318033076,772.9699493729872,770.9337126626184,776.243630316151,781.3427456711895
Aggressive,815.9678778218617,800.3438088256921,868.2013674003836,783.69789733507,799.6474085594633,819.3973494777252,789.9372712143361,817.3191794555861,742.1586585563978,758.565973952429,807.2941913910014,788.8211288409287,883.9228483933815,872.1482195962477,841.0154002187758,752.8925543048006,828.8624400824017,738.1570934117341,778.7090554688967,856.4679099842739,841.4421901734943,743.8802383214069,735.2754724089474,799.302484942211,852.3923457789356,910.3598591444003,828.1233179919018,869.6908849879275,850.5321785877082,741.3485408235256,768.051695408244,811.5889843834226,755.967805837776,759.2593623119756,883.8985010479037,820.1977375252087,802.9955669411606,794.6420922657449,799.215341723808,866.7890313721414,770.8565493194094,721.0727199964025,813.8030301056332,830.4720593086738,751.1178780926606,807.7074686320574,1116.172651183439,836.510769941527,1081.9921085134529,809.662307463117,1086.9716971552407,685.2435537107892,842.5337992866258,824.6971890285995,801.9448626383988,743.9342973168342,800.672349488918,766.762070054417,838.3264283277266,794.0580927420574,789.2041873249801,888.1606759995664,831.8981486235253,834.1921345547906,788.22284952121,828.7536271717399,772.6920862534819,827.2078616143615,842.2922282520827,824.8685195074962,814.0703283565902
Aggressive,767.2048485229338,846.4523200314375,725.6440711449841,777.5442522142563,838.9276686631002,806.0923787167409,874.6273795767939,818.3585103737591,837.0775267363254,732.662133678075,787.4575889438715,818.4038317354951,820.3733315199268,775.1817014789593,846.4168693585757,733.3219671923915,825.9004830312463,802.1170112186117,775.08827653041,804.2745688515124,753.5987547285106,791.9969868955841,750.837050583144,859.2980781151944,823.8691287472477,849.6089771462727,785.0625075193763,783.5446647604853,790.1411004309682,787.161482839388,872.4471798589179,761.3755165608302,744.0040794209657,789.399456961115,760.2351716381361,804.0645050623613,755.7410227160874,831.6740105137521,807.2440790361695,751.70472500655,827.399122376342,773.0275064984636,790.8311971685159,771.3470684979239,775.119709906368,789.5882366937437,1077.0378546916495,716.7827650148995,1114.732558031492,746.7161322298606,1100.833921156358,740.3009566296274,728.822244169117,843.0939834129005,817.13176381033,773.0572076556012,812.1300227792756,736.1071634712347,875.9135855997544,772.856647842982,687.2509490406698,807.4965406705876,778.9797870214367,814.802391838528,910.9115923081747,812.775296726004,830.1210668430268,877.0392928109019,768.1761369760327,796.5469822209318,798.7337757635372
Aggressive,821.2995799300776,850.1276583257924,852.714920533135,785.3720854585048,731.8255812874934,763.3487483120691,860.7269926894703,756.7660322686759,848.3282719534438,833.1246131172369,689.5492186335476,809.763603616333,845.7053611269081,763.2777648870305,811.9797803544059,780.9739504352926,768.3703607894486,789.435781086099,768.4976621137162,800.9913502018858,817.4562050203482,798.497315568118,781.5205161128648,764.5962419644242,761.838438069684,870.8107868936272,817.9242768524725,818.8076767126433,799.6160682449662,788.1328288354111,740.7462375907345,783.71366017981,788.4016303257646,773.501331616074,824.0562859209804,738.8439051952375,828.2255112873557,930.632430936751,857.2181924832215,766.6392574554608,730.8697185450303,811.3960636845782,812.349983504387,807.1213553542248,872.1674709997335,802.8784550960156,1094.7910831939548,744.2125526728478,1039.637877926777,856.643797808013,1084.117439702635,806.1169093717424,729.4116549262517,834.1167854244541,772.1261324305398,886.0914551874448,732.9427314925229,761.9349529323395,758.8389105943394,810.9545915020078,773.1707488343137,823.6438203782823,762.411537192246,815.1249749032376,807.717106420582,799.9842092464083,758.5568187487557,793.1863451687962,776.9818905398969,745.4617131474455,749.2620367583855
Aggressive,808.3598590078775,775.7717534894982,811.9232183397537,789.7434451446201,863.6303325132461,823.2156080948558,787.1009952596505,856.1768963438328,770.632713299349,811.2214511329113,814.0002244027952,781.0586836262826,745.8398417701321,819.2733105362743,785.861538328955,816.0650670349858,828.6013806577581,868.9483970870535,722.3208295784502,789.6573230510767,783.604411889597,795.8017439998881,785.1091264153688,794.3847460477846,860.8230320897823,809.7228616244873,820.2513939054354,775.4797897271262,766.0691270424114,815.4734644318919,812.0286449169316,789.8365633631099,807.5638053700391,774.6070205369172,855.7636722698244,775.1860547598193,743.8766428769494,863.7765310848167,735.7450004693196,822.9343075278215,828.653972220453,847.685461774364,782.6961394185222,796.5265100050129,739.9328586214065,787.0159689000249,1104.9569626092566,798.0835185616286,1065.6859240323215,791.2690190759165,1036.3263538960655,841.6217811646176,800.0702837754569,823.526947063138,817.6912202704518,839.1564465066618,822.8908797652076,802.3972498617992,812.2643601909128,737.6112495892983,803.4431825756981,860.2575438805617,816.7758909799927,849.4206095317932,827.9931889979215,725.117379266324,778.6034005945992,788.0282521260244,793.6873462745841,814.6542987114791,763.6879048128646
Aggressive,797.7362071566884,756.2275464202633,797.2932744479149,700.3292272672019,771.7449386392796,802.5052348735204,778.2268738602625,758.0809003452179,825.1874330827471,840.2951701546119,812.4821513515811,877.7458999957059,793.9132748338108,846.0461718300771,833.4306766917091,783.5567926731474,859.1243188760989,864.4135909548654,803.8672167283909,761.8079109268225,774.7839728865787,803.7663906296773,776.6103722626219,853.6060676360692,802.7645205718779,846.0576061409636,843.3129569306045,872.5792261567011,766.2818691767989,863.6414149194021,755.46497601517,767.2377853256834,753.7035103017527,825.8328621635512,796.9642529700924,841.1378093437431,835.8459297813928,804.2770098085763,830.226034212114,833.8552697527052,812.1176766214479,840.692592235596,804.0492566761222,790.3945736100542,805.0612988602835,758.8085853593735,1128.5448073560628,774.2601976988707,1106.8390317931967,854.6084713112181,1109.9457558436543,751.5112483375647,836.5111998483368,845.726668080716,800.098926692227,781.0972202419972,834.8284368524904,781.1416472882019,801.9990409428777,763.4611641273367,774.2241776509707,805.6734784977062,742.2673792426937,761.5216474540736,718.2292398360324,816.6149899968098,765.7576713479781,798.6295634109956,857.1505771223345,741.1085384303176,891.3453761366009
