Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-1_run-1287_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-2_run-1288_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-3_run-1289_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-4_run-1290_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-5_run-1291_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-6_run-1292_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-7_run-1293_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-8_run-1294_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-1_run-1295_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-2_run-1296_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-3_run-1297_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-4_run-1298_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-5_run-1299_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-6_run-1300_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-7_run-1301_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-8_run-1302_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-7-C-39-ctrl_run-1687_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-8-C-39-IR_run-1688_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-9-C-35-CTRL_run-1689_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-10-C-35-IR_run-1690_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-11-C-69-CTRL_run-1691_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-12-C-39-IR_run-1692_60 SPD_3-25-2024.d
A0A0B4J2D5;A0A0B4J2D5-2;P0DPI2;P0DPI2-2	A0A0B4J2D5;P0DPI2;A0A0B4J2D5-2;P0DPI2-2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	219.79						288.837	532.122		533.123		475.599				799.907						
A0AV96;A0AV96-2	A0AV96;A0AV96-2	RBM47_HUMAN	RBM47	RNA-binding protein 47	13382.4	10515.1	13533.3	12254.5	14211.3	15508.7			13249	15297.7	13408.3	15582.8	13569.3	16188.5	3282.59		22153	17303.1		1270.76	17488	13616.7
A0AVT1	A0AVT1;A0AVT1-2	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	3564.55	2858.77	3627.04	2770.99	3185.71	3012.71	8704.17	11066.6	3926.09	3833.56	3561.74	4344.65	3063.7	3530.96	8057.39	9004.21	3115.67	3472.43	8619.13	9890.17	2513.42	2076.46
A0FGR8-2	A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-6	ESYT2_HUMAN	ESYT2	Isoform 2 of Extended synaptotagmin-2	12260.7	12670.7	13813.2	16469	13209.5	16504.7	9232.17	6402.2	11656.4	12804.4	12290.1	15055.3	11879.7	12235.3	8352	8253.33	13987.4	17877.9	12262.5	12779.5	12079	14789.1
A0FGR9	A0FGR9;A0FGR9-2	ESYT3_HUMAN	ESYT3	Extended synaptotagmin-3	5958.78	4063.99	5037.12	7314.27	2672.27	5566.56			5592.44	4503.8	5133.09	5261.38	4276.7	3405.51			5105.03	5885.05			5647.96	5128.84
A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66-8	A0MZ66;A0MZ66-4;A0MZ66-7;A0MZ66-3;A0MZ66-5;A0MZ66-6;A0MZ66-8	SHOT1_HUMAN	SHTN1	Shootin-1	656.493	782.834	1316.74	1248.86	970.965	903.555	2390.53	1242.85	1638.35	1875.62	1768.42	1515.52	1186.88	1648.61	3012.19	3545.34		1474.12	3128.38	2796.41	837.817	1005.93
A1A4Y4;A1A4Y4-2;A1A4Y4-3;A1A4Y4-4	A1A4Y4;A1A4Y4-4;A1A4Y4-2;A1A4Y4-3	IRGM_HUMAN	IRGM	Immunity-related GTPase family M protein	3985.35	4267.84	5063.48	2745.23	1419.7	795.74			4091.97	3947.31	3357.77	3888.68	1923.01	1786.96			4993.29	3256.32			4732.5	2927.38
A1KZ92;A1KZ92-2;A1KZ92-3	A1KZ92;A1KZ92-3;A1KZ92-2	PXDNL_HUMAN	PXDNL	Probable oxidoreductase PXDNL	8954.68	11483.4	8082.87	8276.75	8876.1	17025.7	9584.63	2773.38	6335.33	9051.3	6136.64	5561.25	13150.9	7207.71	7669.99	5104.14	4360.13	7396.23	6132.75	5248.23	12033.6	7079.69
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	1076.05		1121.61		1078.03		2438.63	3303.62		1393.05	1030.37	1143.27	1481.23	1359.34	3677.37	3702.87	1137.89	1685.65	4995.65	4835.27	2338.83	1685.9
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	24230.2	20944.2	26263.8	24906.1	22427.8	29826.9	22682.4	21873.3	25427.6	22156	19707.7	27427.2	18109.2	27879.3	13605.5	19434	27231.9	26553.1	18623.8	20293.4	27418.6	18877.2
